"NOM_RBD","RBD","REGION_RBD","MATRICULADOS","PTJE_PROM","POSTULANTES","EGRESADOS_2024","PCNTJE_EGRESADOS_2024","POSTULANTES_UAI","PCNTJE_POSTULANTES_UAI","TOTAL_MUJERES_POST","PCNTJE_MUJERES_POST","POST_MUJERES_UAI","PCNTJE_POST_MUJERES_UAI","MATRICULADOS_UAI","PCNTJE_MATRICULADOS_UAI","TOTAL_MUJERES_MATRI","PCNTJE_MUJERES_MATRI","MATRI_MUJERES_UAI","PCNTJE_MATRI_MUJERES_UAI","Grupo.1..1.3.","Grupo.2..4.6.","Grupo.3..7.9.","Grupo.4..No.responde.","Otro","POST_COMPETENCIA1","PCNTJE_POST_COMPETENCIA1","POST_COMPETENCIA2","PCNTJE_POST_COMPETENCIA2","MATRI_COMPETENCIA1","PCNTJE_MATRI_COMPETENCIA1","MATRI_COMPETENCIA2","PCNTJE_MATRI_COMPETENCIA2","POST_UAI_FILTRADO","PCNTJE_POST_UAI_FILTRADO","POST_COMERCIAL","PCNTJE_COMERCIAL_POST","POST_COMERCIAL_UAI","PCNTJE_COMERCIAL_UAI_POST","POST_COMERCIAL_COMPT1","PCNTJE_COMERCIAL_COMPT1_POST","POST_COMERCIAL_COMPT2","PCNTJE_COMERCIAL_COMPT2_POST","POST_ING_CIVIL","PCNTJE_ING_CIVIL_POST","POST_ING_CIVIL_UAI","PCNTJE_ING_CIVIL_UAI_POST","POST_ING_CIVIL_COMPT1","PCNTJE_ING_CIVIL_COMPT1_POST","POST_ING_CIVIL_COMPT2","PCNTJE_ING_CIVIL_COMPT2_POST","POST_DERECHO","PCNTJE_DERECHO_POST","POST_DERECHO_UAI","PCNTJE_DERECHO_UAI_POST","POST_DERECHO_COMPT1","PCNTJE_DERECHO_COMPT1_POST","POST_DERECHO_COMPT2","PCNTJE_DERECHO_COMPT2_POST","POST_PSICOLOGIA","PCNTJE_PSICOLOGIA_POST","POST_PSICOLOGIA_UAI","PCNTJE_PSICOLOGIA_UAI_POST","POST_PSICOLOGIA_COMPT1","PCNTJE_PSICOLOGIA_COMPT1_POST","POST_PSICOLOGIA_COMPT2","PCNTJE_PSICOLOGIA_COMPT2_POST","POST_PERIODISMO","PCNTJE_PERIODISMO_POST","POST_PERIODISMO_UAI","PCNTJE_PERIODISMO_UAI_POST","POST_PERIODISMO_COMPT1","PCNTJE_PERIODISMO_COMPT1_POST","POST_PERIODISMO_COMPT2","PCNTJE_PERIODISMO_COMPT2_POST","POST_COMPT1_FILTRADO","PCNTJE_COMPT1_POST_FILTRADO","POST_COMPT2_FILTRADO","PCNTJE_COMPT2_POST_FILTRADO","MATRI_UAI_FILTRADO","PCNTJE_MATRI_UAI_FILTRADO","MATRI_COMERCIAL","PCNTJE_COMERCIAL_MATRI","MATRI_COMERCIAL_UAI","PCNTJE_COMERCIAL_UAI_MATRI","MATRI_COMERCIAL_COMPT1","PCNTJE_COMERCIAL_COMPT1_MATRI","MATRI_COMERCIAL_COMPT2","PCNTJE_COMERCIAL_COMPT2_MATRI","MATRI_ING_CIVIL","PCNTJE_ING_CIVIL_MATRI","MATRI_ING_CIVIL_UAI","PCNTJE_ING_CIVIL_UAI_MATRI","MATRI_ING_CIVIL_COMPT1","PCNTJE_ING_CIVIL_COMPT1_MATRI","MATRI_ING_CIVIL_COMPT2","PCNTJE_ING_CIVIL_COMPT2_MATRI","MATRI_DERECHO","PCNTJE_DERECHO_MATRI","MATRI_DERECHO_UAI","PCNTJE_DERECHO_UAI_MATRI","MATRI_DERECHO_COMPT1","PCNTJE_DERECHO_COMPT1_MATRI","MATRI_DERECHO_COMPT2","PCNTJE_DERECHO_COMPT2_MATRI","MATRI_PSICOLOGIA","PCNTJE_PSICOLOGIA_MATRI","MATRI_PSICOLOGIA_UAI","PCNTJE_PSICOLOGIA_UAI_MATRI","MATRI_PSICOLOGIA_COMPT1","PCNTJE_PSICOLOGIA_COMPT1_MATRI","MATRI_PSICOLOGIA_COMPT2","PCNTJE_PSICOLOGIA_COMPT2_MATRI","MATRI_PERIODISMO","PCNTJE_PERIODISMO_MATRI","MATRI_PERIODISMO_UAI","PCNTJE_PERIODISMO_UAI_MATRI","MATRI_PERIODISMO_COMPT1","PCNTJE_PERIODISMO_COMPT1_MATRI","MATRI_PERIODISMO_COMPT2","PCNTJE_PERIODISMO_COMPT2_MATRI","MATRI_COMPT1_FILTRADO","PCNTJE_COMPT1_MATRI_FILTRADO","MATRI_COMPT2_FILTRADO","PCNTJE_COMPT2_MATRI_FILTRADO","LATITUD","LONGITUD","locacion","cluster_carreras_general","cluster_vero_sf_post","cluster_vero_sf_matri","cluster_comercial_post_c5","cluster_civil_post_c2","cluster_derecho_post","cluster_derecho_matri","cluster_psicologia_post","cluster_psicologia_matri","cluster_periodismo_post","cluster_periodismo_matri","DIRECCION","COMUNA","PROVINCIA","NUMERO","REFERENCIA"
"LICEO POLIVALENTE MUNICIPAL DE LA FLORIDA",26292,13,32,"661,740625",73,0,0,0,"0",53,"72,6",0,"0",0,"0",22,"68,75",0,"0",11,4,6,11,0,50,"68,49",4,"5,48",4,"12,5",0,"0",0,"0",1,"1,37",0,0,1,"1,37",0,"0",17,"23,29",0,0,4,"5,48",0,"0",7,"9,59",0,"0",2,"2,74",0,"0",4,"5,48",0,0,0,"0",0,"0",3,"4,11",0,"0",1,"1,37",0,"0",8,"10,96",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"6,25",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-33.515721,-70.58502,"-33.515721,-70.58502",3,4,4,0,0,4,2,3,2,5,2,"AVENIDA EL PARQUE","LA FLORIDA","CORDILLERA",1740,"DESDE AV. LA FLORIDA CON DEPARTAMENTAL DOS CUADRAS AL SUR POR AV. LA FLORIDA"
"LICEO POLIVALENTE MUNICIPAL DE NACIMIENTO",4451,8,84,"731,319333333333",138,0,0,1,"0,72",91,"65,94",0,"0",0,"0",53,"63,1",0,"0",46,20,8,10,0,12,"8,7",11,"7,97",2,"2,38",1,"1,19",1,"0,72",28,"20,29",0,0,2,"1,45",4,"2,9",108,"78,26",0,0,0,"0",4,"2,9",27,"19,57",1,"0,72",0,"0",4,"2,9",22,"15,94",0,0,0,"0",4,"2,9",3,"2,17",0,"0",0,"0",4,"2,9",2,"1,45",0,"0",0,"0",4,"4,76",0,0,0,"0",0,"0",11,"13,1",0,0,0,"0",0,"0",1,"1,19",0,"0",0,"0",0,"0",1,"1,19",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",NA,NA,"UNA VEZ CRUZADO EL PUENTE VERGARA, DESVIO A LA DERECHA PRIMER ENTRADA HACIA EL CENTRO DE LA CIUDAD.""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",1,3,4,0,0,2,4,4,6,2,1,"PRIETO","NACIMIENTO","BIOBÃO",880,"ENTRADA SUR:RUTA DE LA MADERA,UNA VEZ CRUZADO EL PUENTE VERGARA, DESVIO A LA DERECHA PRIMER ENTRADA HACIA EL CENTRO DE LA CIUDAD."
"LICEO POLIVALENTE NAHUELBUTA",5155,8,37,"720,74145945946",61,0,0,2,"3,28",42,"68,85",1,"2,38",0,"0",22,"59,46",0,"0",19,6,3,9,0,10,"16,39",1,"1,64",1,"2,7",1,"2,7",2,"3,28",2,"3,28",0,0,0,"0",0,"0",8,"13,11",0,0,3,"4,92",0,"0",38,"62,3",2,"3,28",9,"14,75",0,"0",22,"36,07",0,0,2,"3,28",0,"0",17,"27,87",0,"0",4,"6,56",0,"0",18,"29,51",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"2,7",0,0,0,"0",0,"0",3,"8,11",0,"0",1,"2,7",0,"0",1,"2,7",0,0,0,"0",0,"0",3,"8,11",0,"0",0,"0",0,"0",1,"2,7",0,"0",-38.01646,-73.228943,"-38.01646,-73.228943",4,3,4,0,0,1,4,4,6,2,1,"MILLARAY","CONTULMO","ARAUCO",118,"FRENTE A PLAZA DE ARMAS"
"LICEO POLIVALENTE OLOF PALME",9701,13,8,"815,4215",20,0,0,0,"0",8,"40",0,"0",0,"0",5,"62,5",0,"0",6,1,0,1,0,16,"80",0,"0",3,"37,5",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"10",0,"0",2,"10",0,"0",2,"10",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-34.9850121,-71.1597258," HACIA LA CORDILLERA."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-33.545626",2,5,1,0,1,2,3,4,4,4,4,"JULIO COVARRUBIAS","LA CISTERNA","SANTIAGO SUR",9370,"PARADERO 27 DE GRAN AVENIDA, HACIA LA CORDILLERA."
"LICEO POLIVALENTE RAFAEL DONOSO CARRASCO",10396,13,16,"635,70625",36,0,0,0,"0",14,"38,89",0,"0",0,"0",6,"37,5",0,"0",4,4,5,3,0,26,"72,22",3,"8,33",4,"25",0,"0",0,"0",10,"27,78",0,0,3,"8,33",0,"0",9,"25",0,0,8,"22,22",0,"0",5,"13,89",0,"0",3,"8,33",0,"0",2,"5,56",0,0,0,"0",0,"0",1,"2,78",0,"0",0,"0",0,"0",14,"38,89",0,"0",0,"0",1,"6,25",0,0,1,"6,25",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"6,25",0,"0",0,"0",0,"0",1,"6,25",0,"0",-33.4003489,-70.6514025," ALT. 2700"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-33.400203",3,4,4,0,0,4,2,3,2,5,2,"MUÃOZ GAMERO","RECOLETA","SANTIAGO NORTE",972,"AV. RECOLETA, ALT. 2700"
"LICEO POLIVALENTE RIGOBERTO FONTT I.",10399,13,30,"676,6066",71,0,0,2,"2,82",44,"61,97",1,"2,27",0,"0",17,"56,67",0,"0",13,5,3,9,0,47,"66,2",3,"4,23",4,"13,33",0,"0",0,"0",10,"14,08",0,0,5,"7,04",0,"0",23,"32,39",0,0,4,"5,63",0,"0",8,"11,27",0,"0",5,"7,04",0,"0",2,"2,82",0,0,0,"0",0,"0",6,"8,45",0,"0",2,"2,82",0,"0",16,"22,54",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",3,"10",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"3,33",0,"0",0,"0",0,"0",0,"0",0,"0",-33.1948383,-70.6746068," KM 39 CARRETERA GRAL SAN MARTÃN"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-33.194641",3,4,4,0,0,4,2,3,2,5,2,"IGNACIO CARRERA PINTO","COLINA","SANTIAGO NORTE",450,"CALLE FONTT ESQUINA DE IGNACIO CARRERA PINTO, KM 39 CARRETERA GRAL SAN MARTÃN"
"LICEO POLIVALENTE SAGRADA FAMILIA",16587,7,50,"749,7978",68,0,0,0,"0",37,"54,41",0,"0",0,"0",25,"50",0,"0",40,2,1,7,0,6,"8,82",2,"2,94",1,"2",0,"0",0,"0",20,"29,41",0,0,0,"0",1,"1,47",61,"89,71",0,0,1,"1,47",1,"1,47",9,"13,24",0,"0",1,"1,47",1,"1,47",33,"48,53",0,0,0,"0",1,"1,47",2,"2,94",0,"0",0,"0",1,"1,47",2,"2,94",0,"0",0,"0",1,"2",0,0,0,"0",0,"0",5,"10",0,0,0,"0",0,"0",1,"2",0,"0",0,"0",0,"0",1,"2",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-34.997311,-71.38678,"-34.997311,-71.38678",5,3,4,2,0,2,4,4,6,2,1,"TOMAS IGNACIO CORREA","SAGRADA FAMILIA","CURICÃ",0,"AL LADO DEL CENTRO DE REHABILITACIÃN KINESIOLÃGICA CESFAM SAGRADA FAMILIA."
"LICEO POLIVALENTE SAINT ANDREWS",10377,13,6,"671,541666666667",14,0,0,0,"0",5,"35,71",0,"0",0,"0",1,"16,67",0,"0",2,2,0,2,0,12,"85,71",0,"0",1,"16,67",0,"0",0,"0",1,"7,14",0,0,1,"7,14",0,"0",0,"0",0,0,0,"0",0,"0",5,"35,71",0,"0",3,"21,43",0,"0",0,"0",0,0,0,"0",0,"0",2,"14,29",0,"0",2,"14,29",0,"0",6,"42,86",0,"0",0,"0",1,"16,67",0,0,1,"16,67",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"16,67",0,"0",NA,NA,"  VILLA LA UNION"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-33.246239",4,4,4,0,0,1,2,3,2,4,2,"LA UNION","LAMPA","SANTIAGO NORTE",72,"KM 21 PANAMERICANA NORTE,  VILLA LA UNION"
"LICEO POLIVALENTE SAN JOSE DE MAIPO",10526,13,19,"681,621578947368",37,0,0,0,"0",21,"56,76",0,"0",0,"0",12,"63,16",0,"0",7,2,4,6,0,23,"62,16",0,"0",5,"26,32",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"5,41",0,0,1,"2,7",0,"0",15,"40,54",0,"0",11,"29,73",0,"0",5,"13,51",0,0,1,"2,7",0,"0",0,"0",0,"0",0,"0",0,"0",13,"35,14",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"5,26",0,"0",0,"0",0,"0",1,"5,26",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-33.640939,-70.353536,"-33.640939,-70.353536",3,4,4,0,0,3,2,3,2,5,2,"CAMINO AL VOLCAN","SAN JOSÃ DE MAIPO","CORDILLERA",19845,"PLAZA DE ARMAS DE SAN JOSÃ DE MAIPO."
"LICEO POLIVALENTE SANTA JULIANA",8632,13,67,"665,094029850746",103,0,0,1,"0,97",54,"52,43",0,"0",0,"0",31,"46,27",0,"0",32,8,9,18,0,69,"66,99",6,"5,83",14,"20,9",0,"0",0,"0",5,"4,85",0,0,2,"1,94",0,"0",32,"31,07",0,0,10,"9,71",0,"0",25,"24,27",0,"0",12,"11,65",1,"0,97",2,"1,94",0,0,0,"0",0,"0",9,"8,74",0,"0",3,"2,91",0,"0",27,"26,21",1,"0,97",0,"0",1,"1,49",0,0,1,"1,49",0,"0",3,"4,48",0,0,0,"0",0,"0",4,"5,97",0,"0",1,"1,49",0,"0",0,"0",0,0,0,"0",0,"0",2,"2,99",0,"0",0,"0",0,"0",2,"2,99",0,"0",-33.407083,-70.648736,"-33.407083,-70.648736",3,4,4,0,0,1,2,3,2,5,2,"AVENIDA MEXICO","RECOLETA","SANTIAGO NORTE",755,"ESTACION DE METRO EINSTEIN"
"LICEO POLIVALENTE SANTIAGO DE COMPOSTELA",24686,13,47,"670,748936170213",82,0,0,3,"3,66",61,"74,39",1,"1,64",0,"0",32,"68,09",0,"0",22,6,8,10,1,49,"59,76",7,"8,54",3,"6,38",1,"2,13",0,"0",0,"0",0,0,0,"0",0,"0",8,"9,76",0,0,5,"6,1",0,"0",14,"17,07",0,"0",7,"8,54",2,"2,44",3,"3,66",0,0,0,"0",0,"0",4,"4,88",0,"0",2,"2,44",0,"0",14,"17,07",2,"2,44",0,"0",0,"0",0,0,0,"0",0,"0",1,"2,13",0,0,0,"0",0,"0",2,"4,26",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-33.586788,-70.699731,"-33.586788,-70.699731",3,4,4,0,0,4,2,3,2,5,2,"FREIRE","SAN BERNARDO","SANTIAGO SUR",43,""
"LICEO POLIVALENTE SARA BRAUN",8430,12,15,"758,667466666667",29,0,0,0,"0",24,"82,76",0,"0",0,"0",11,"73,33",0,"0",5,2,4,3,1,5,"17,24",3,"10,34",0,"0",0,"0",0,"0",2,"6,9",0,0,0,"0",2,"6,9",0,"0",0,0,0,"0",2,"6,9",6,"20,69",0,"0",2,"6,9",3,"10,34",18,"62,07",0,0,3,"10,34",2,"6,9",0,"0",0,"0",0,"0",2,"6,9",5,"17,24",1,"3,45",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"6,67",0,"0",0,"0",0,"0",2,"13,33",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-53.162498,-70.901573,"-53.162498,-70.901573",6,3,4,0,0,2,3,4,4,2,4,"AVENIDA COLON","PUNTA ARENAS","MAGALLANES",1027,"SECTOR CENTRO"
"LICEO POLIVALENTE TOMÁS ARNALDO HERRERA VEGA",3961,16,16,"734,881125",28,0,0,0,"0",16,"57,14",0,"0",0,"0",10,"62,5",0,"0",12,2,1,1,0,3,"10,71",0,"0",0,"0",0,"0",0,"0",11,"39,29",0,0,0,"0",0,"0",27,"96,43",0,0,0,"0",0,"0",15,"53,57",0,"0",1,"3,57",0,"0",10,"35,71",0,0,0,"0",0,"0",3,"10,71",0,"0",0,"0",0,"0",1,"3,57",0,"0",0,"0",1,"6,25",0,0,0,"0",0,"0",1,"6,25",0,0,0,"0",0,"0",1,"6,25",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"6,25",0,"0",0,"0",0,"0",0,"0",0,"0",NA,NA,",",5,3,4,2,0,2,4,4,6,2,1,"","","",NA,""
"LICEO PORTAL DE LA CISTERNA",9722,13,8,"627,125",18,0,0,0,"0",9,"50",0,"0",0,"0",3,"37,5",0,"0",6,1,1,0,0,9,"50",1,"5,56",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"11,11",0,0,0,"0",0,"0",7,"38,89",0,"0",3,"16,67",0,"0",2,"11,11",0,0,0,"0",0,"0",1,"5,56",0,"0",1,"5,56",0,"0",4,"22,22",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"12,5",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-33.5154002,-70.6563322," UNA CUADRA HACIA EL ESTE."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-33.515547",3,4,4,0,0,1,2,3,2,5,2,"ESMERALDA","LA CISTERNA","SANTIAGO SUR",6305,"PARADERO 17 GRAN AVDA. CALLEJÃN LO OVALLE, UNA CUADRA HACIA EL ESTE."
"LICEO PREMILITAR HÉROES DE LA CONCEPCIÓN",22114,10,18,"633,497222222222",30,0,0,0,"0",17,"56,67",0,"0",0,"0",8,"44,44",0,"0",6,2,3,7,0,3,"10",0,"0",0,"0",0,"0",0,"0",3,"10",0,0,0,"0",0,"0",4,"13,33",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",10,"33,33",0,0,0,"0",0,"0",2,"6,67",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"5,56",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",3,"16,67",0,0,0,"0",0,"0",1,"5,56",0,"0",0,"0",0,"0",0,"0",0,"0",NA,NA,",",6,2,4,0,0,4,2,3,2,5,2,"","","",NA,""
"LICEO PROFESIONAL ABDON CIFUENTES",8811,13,62,"665,001612903226",123,0,0,2,"1,63",69,"56,1",0,"0",1,"1,61",30,"48,39",0,"0",21,9,14,16,2,83,"67,48",9,"7,32",12,"19,35",1,"1,61",4,"3,25",19,"15,45",0,0,4,"3,25",0,"0",26,"21,14",0,0,10,"8,13",0,"0",29,"23,58",4,"3,25",8,"6,5",2,"1,63",9,"7,32",0,0,0,"0",0,"0",8,"6,5",0,"0",1,"0,81",0,"0",23,"18,7",2,"1,63",1,"1,61",1,"1,61",0,0,0,"0",0,"0",4,"6,45",0,0,0,"0",0,"0",6,"9,68",1,"1,61",1,"1,61",0,"0",0,"0",0,0,0,"0",0,"0",1,"1,61",0,"0",1,"1,61",0,"0",2,"3,23",0,"0",-33.447614,-70.657962,"-33.447614,-70.657962",3,4,4,0,0,4,2,3,2,5,2,"DIECIOCHO","SANTIAGO","SANTIAGO CENTRO",116,"AVDA. L. B. OHIGGINS ALT. 14.000.METRO ESTAC. LOS HEROES O MONEDA"
"LICEO PROFESOR MISAEL LOBOS MONROY",2205,6,15,"671,492533333333",30,0,0,0,"0",19,"63,33",0,"0",0,"0",9,"60",0,"0",5,3,1,6,0,12,"40",0,"0",1,"6,67",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"6,67",0,0,0,"0",0,"0",16,"53,33",0,"0",4,"13,33",0,"0",0,"0",0,0,0,"0",0,"0",2,"6,67",0,"0",0,"0",0,"0",4,"13,33",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"13,33",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-34.070389,-70.723663,"-34.070389,-70.723663",3,2,4,0,0,1,2,3,2,5,2,"GUILLERMO BERRIOS","GRANEROS","CACHAPOAL",130,""
